"","DUR_12","DUR_24","DUR_36","DUR_48","DUR_60","DUR_72","DUR_84","DUR_96","DUR_108","DUR_120","DUR_132","DUR_144","DUR_156","DUR_168","DUR_180","DUR_192","DUR_204","DUR_216","DUR_228","DUR_240","DUR_252","DUR_264","DUR_276","DUR_288","DUR_300","DUR_312","DUR_324","DUR_336","DUR_348","DUR_360"
"AEW27",52523.6305659162,53320.9296568448,53743.3655330896,52190.2013141052,48467.0453290097,44440.2321480789,42812.8373599845,44841.6127042739,49181.4468314148,55211.5670152719,61289.7784022143,65006.430025662,65801.1496432,NA,64822.2492346565,63229.079880409,61629.4480338812,59861.2441485883,58182.0278896493,57598.9461522137,57797.047936711,57551.6822865919,57155.0399553534,56501.6538705609,55845.6199114672,54365.381307323,52206.1481314767,50339.0947501652,49727.571794288,50236.0148520086
"AEW28",47428.5015156284,46449.9958446191,46745.7352733449,47650.6384414587,47879.9677739751,47028.8481734416,46055.5270677621,46509.7715363831,49269.6129949279,54466.3212643821,60037.9195228675,62922.1063247218,62662.4815549182,NA,61258.5030534521,60060.2248189265,59224.3346742218,58599.0940916722,58680.9512623943,59155.8578661909,59710.1486814973,59690.4457013879,59093.6739119991,57883.4282987525,56094.704034343,53116.2258256608,49103.9381417887,45584.9637185884,43936.0452096651,44031.7424052578
"AEW29",60434.1701169464,61240.9272254885,61433.7738147801,60900.8973084006,59216.853939819,56709.582301538,54333.1413016464,53425.6170626321,54462.2545850408,56831.148682744,59669.5032319847,61280.3457596024,60612.206181841,NA,58699.2839679104,57250.6227148492,57158.4375723882,57782.2483806212,58327.044718685,58068.260096953,57398.5919846303,56900.5197997067,56984.7943473534,56905.7080162796,56185.0101671932,55145.0581114374,54068.3825513094,53472.4079471956,53769.2389134249,54643.3454425526
"AEW30",49709.6322039076,49773.4152714892,49944.9260305798,50150.5280566887,49966.8298391249,49085.7541966821,48126.7507912281,48890.7034390259,51814.3052021443,56461.828327219,60747.4222444998,62775.7864730093,62362.9293165914,NA,60920.5864116644,59864.2946278597,59600.1983240402,59096.7603322811,58329.5019911434,57835.8717101093,57294.9907343732,55632.0588655671,53040.039216053,51000.7292009691,50292.8300760293,50324.8024689628,49904.8428798083,48597.4160858982,47591.9330407959,47719.979798668
"AEW31",61781.8690596138,62308.0670639334,63112.645448102,63755.6826905517,63668.8537853775,62845.7306289214,61376.0574172385,60212.3447330471,59818.3656143344,60070.6942207945,60487.6484351865,61135.8386049653,62285.0018249905,NA,63844.8513116023,64767.9317240444,64942.7772086881,63610.0588687465,61596.3063481154,60398.2389443891,60386.2568581152,61020.2363567721,61997.6750309082,63269.6283873716,64269.5387124474,64385.4944953707,63717.102433286,63495.6259585935,64061.294045215,64755.84877623
"AEW32",63936.4219050852,63625.0034483051,63441.5353078898,63119.9439112357,63100.0926641845,63748.8894457673,64415.2793953942,63980.411487176,62209.9113214732,59901.665234959,57899.131478879,57280.3792600834,57756.4325763665,NA,58792.4550677273,59559.4059652541,59837.1419628508,59713.6630649992,59277.9041886327,59161.7296648039,59845.3915008226,60957.3976594158,61648.5327617694,61349.561913645,60301.4650241585,58831.8659991427,57691.5628325977,58007.751424311,60003.4301069703,62465.2798523212
"AEW33",65483.0382020541,64545.2143950097,64078.9884918754,63171.7392768645,60919.0197808895,57962.9185233929,56183.0890052678,56037.3150783949,56937.0298836082,58514.6097616831,59990.869995831,60738.8287776485,60262.1726212002,NA,59076.6414448207,57264.2991233286,55788.6357167914,54984.5979306163,54722.2784769789,55376.7163799752,56686.5566079984,57723.8668999465,58942.8933415486,61291.8374137363,64885.7639403601,67430.404153601,67267.6190594563,65649.793559174,64740.8409641495,64973.212345395
"AEW34",66003.0121713376,65268.7571658119,65098.7986042667,64836.4299107633,63118.8378570471,60172.11038034,57743.0655633883,56971.8129312723,57256.3618387686,58144.0626533134,59244.3382125286,60497.3754319876,61779.6478774386,NA,63163.6746407257,64447.0495506679,64516.2338404287,62912.8645773486,60401.0702212227,58343.3090756679,58060.8799203647,58965.8227255676,60055.0283428954,61732.750344828,64392.7025821343,66468.4987535214,65996.8277695351,63784.6289509185,62166.9776682089,61980.5869949725
"AEW35",50611.1019618981,49700.5678205391,49161.2138250174,49052.1548113912,48530.5929091207,47537.168568963,46127.4880466453,45546.6757116461,46646.6869437412,50275.4240068449,55774.2285657459,60639.9605399057,62916.4051693429,NA,61761.1385864779,59492.7072207656,58125.5109307735,57768.0665348006,57578.6358760995,57573.710050867,57328.1971123115,56272.948197035,54316.507986239,51910.7652177503,49325.1323844233,47471.0513178493,47263.3761716739,48716.002917677,51068.3357584037,53242.0389482963
"AEW36",50909.3639153573,51142.9060952853,51791.3593000921,51587.7667016224,49820.516872553,47234.7984537046,44995.4193868101,44522.9805679081,46234.7219585591,49552.3149431615,53059.3467183302,56305.625501155,58183.6688562049,NA,59023.9401637008,58733.7016164579,57582.8228636563,56374.9373517952,56048.36410037,56328.67461711,56767.1031825983,56519.3689543018,55603.4155655018,54260.6727974841,52600.6183526691,50183.3924309446,47570.0091821068,46321.3256767726,46828.003613314,48088.5552945045
